job_id,title,company,location_city,location_province,location_country,seniority_level,employment_level,job_function,industries,posted_date,description,keywords,link,num_applicants
4115763088,"Software Engineer I, Frontend (Accommodation)",tiket.com,Jakarta,Jakarta,Indonesia,,full-time,engineering and information technology,software development,2025-01-06,"We think you also hate when travel app is giving you a headache, right? A slight misinformation can ruin the trip.That is exactly what we are tackling as t-fam! Making sure that our 50+ million users have the best experience in crafting their own adventure.Your main duties in flying with us:Develop and maintain responsive and interactive user interfaces using React.js and Next.js. Work on server-side rendering (SSR) and static site generation (SSG) with Next.js. Collaborate with senior developers and designers to implement new features and improve existing functionality. Write clean, reusable, and efficient code Participate in code reviews and contribute to best practices. Troubleshoot and debug applications. Stay up-to-date with the latest web development trends and technologiesMandatory belongings that you must prepare:0-2 years of experience in frontend developmentSolid understanding of JavaScript, HTML, CSS, and the React ecosystem. Experience with Next.js, including server-side rendering and static site generation. Familiarity with state management tools like Redux or Context API. Knowledge of RESTful APIs and how to integrate them into React/Next.js applications. Ability to work with version control systems (e.g., Git). A basic understanding of responsive design and cross-browser compatibility. Strong problem-solving skills and attention to detail. Excellent communication and teamwork skills. Eagerness to learn and grow in a fast-paced environmentIn the event that you haven’t received any updates after 3 weeks, your data will be kept and we may contact you for another career destination. Meanwhile, discover more about tiket.com on Instagram, LinkedIn, or YouTube.",0-2 years|ai|api|c|communication|control systems|css|design|development|fast-paced|frontend|git|java|javascript|next.js|r|react|redux|rest|review|senior|systems|teamwork|web|web development,https://id.linkedin.com/jobs/view/software-engineer-i-frontend-accommodation-at-tiket-com-4115763088?trk=public_jobs_topcard-title,Over 200 applicants
4188450252,Front End Developer,PT Adicipta Inovasi Teknologi,Jakarta,Jakarta,Indonesia,associate,full-time,engineering and information technology,information technology & services,2025-03-23,"Develop and maintain web applications using React.js, including integration with backend APIs.Optimize application performance to be fast, responsive, and user-friendly.Contribute to architecture and best practices in frontend development.Implement UI/UX that is in accordance with the design of the design team.Ensure web applications are compatible across browsers and devices.Assist in debugging and troubleshooting when there are issues in the frontend system.Work closely with the backend team to ensure smooth system integration.Minimum QualificationsCandidate must possess at least a Bachelor's Degree, Computer Science or Information Technology, Engineering (Computer or Telecommunication) or equivalentMinimum 1 year of experience in frontend development with React.js.Proficient in JavaScript (ES6+), TypeScript, HTML, CSS, Tailwind CSS, or Styled Components.Experience with state management such as Redux, Zustand, or React Context API.Understanding SSR & SSG with Next.js is a plus.Experience in REST or GraphQL API integration.Able to write clean, maintainable, and scalable code.Able to work in a team and have good communication.",ai|api|architect|architecture|bachelor|backend|c|communication|computer science|css|debugging|degree|design|development|engineering|frontend|go|graphql|information technology|integration|java|javascript|next.js|r|react|redux|rest|scala|system integration|tailwind|troubleshooting|typescript|ui/ux|web,https://id.linkedin.com/jobs/view/front-end-developer-at-pt-adicipta-inovasi-teknologi-4188450252?trk=public_jobs_topcard-title,33 applicants
4199554439,Internship Web Developer,PT. Sasa Inti,Jakarta,Jakarta,Indonesia,internship,internship,engineering and information technology,manufacturing,2025-04-03,"DESKRIPSI PEKERJAANMendukung pengembangan situs web berdasarkan kebutuhan bisnis.Mendukung pengembangan dan penyelesaian pengembangan web sesuai dengan jadwal yang telah ditetapkan.Membantu dalam penyusunan dokumen terkait pengembangan web (spesifikasi teknis, skenario dan hasil pengujian, serta panduan pengguna).",ai|r|web,https://id.linkedin.com/jobs/view/internship-web-developer-at-pt-sasa-inti-4199554439?trk=public_jobs_topcard-title,Over 200 applicants
4158977188,Web Developer,PT Astra International Tbk,Jakarta,Jakarta,Indonesia,entry level,full-time,engineering and information technology,automation machinery manufacturing,2025-03-07,"Deskripsi PekerjaanMengembangkan aplikasi berbasis webMenemukan dan memperbaiki bug dan melakukan pemrogramanPersyaratanMinimal pendidikan D3 jurusan Teknik Informatika, Sistem Informasi, Ilmu Komputer dan jurusan lain yang relavanMemiliki komunikasi yang baik dan keterampilan interpersonal yang baikMemiliki motivasi untuk mempelajari teknologi baru Dapat bekerja secara mandiri dan bekerja sama dalam timMemiliki kemampuan pemrograman .Net/PHP/Javascript",ai|c|java|javascript|php|r|web,https://id.linkedin.com/jobs/view/web-developer-at-pt-astra-international-tbk-4158977188?trk=public_jobs_topcard-title,Over 200 applicants
