job_id,title,company,location_city,location_province,location_country,seniority_level,employment_level,job_function,industries,posted_date,description,keywords,link,num_applicants
4158977188,Web Developer,PT Astra International Tbk,Jakarta,Jakarta,Indonesia,entry level,full-time,engineering and information technology,automation machinery manufacturing,2025-03-07,"Deskripsi PekerjaanMengembangkan aplikasi berbasis webMenemukan dan memperbaiki bug dan melakukan pemrogramanPersyaratanMinimal pendidikan D3 jurusan Teknik Informatika, Sistem Informasi, Ilmu Komputer dan jurusan lain yang relavanMemiliki komunikasi yang baik dan keterampilan interpersonal yang baikMemiliki motivasi untuk mempelajari teknologi baru Dapat bekerja secara mandiri dan bekerja sama dalam timMemiliki kemampuan pemrograman .Net/PHP/Javascript",java|javascript|php|web,https://id.linkedin.com/jobs/view/web-developer-at-pt-astra-international-tbk-4158977188?trk=public_jobs_topcard-title,Over 200 applicants
4188450252,Front End Developer,PT Adicipta Inovasi Teknologi,Jakarta,Jakarta,Indonesia,associate,full-time,engineering and information technology,information technology & services,2025-03-23,"Develop and maintain web applications using React.js, including integration with backend APIs.Optimize application performance to be fast, responsive, and user-friendly.Contribute to architecture and best practices in frontend development.Implement UI/UX that is in accordance with the design of the design team.Ensure web applications are compatible across browsers and devices.Assist in debugging and troubleshooting when there are issues in the frontend system.Work closely with the backend team to ensure smooth system integration.Minimum QualificationsCandidate must possess at least a Bachelor's Degree, Computer Science or Information Technology, Engineering (Computer or Telecommunication) or equivalentMinimum 1 year of experience in frontend development with React.js.Proficient in JavaScript (ES6+), TypeScript, HTML, CSS, Tailwind CSS, or Styled Components.Experience with state management such as Redux, Zustand, or React Context API.Understanding SSR & SSG with Next.js is a plus.Experience in REST or GraphQL API integration.Able to write clean, maintainable, and scalable code.Able to work in a team and have good communication.",api|architect|architecture|bachelor|backend|communication|computer science|css|debugging|degree|design|development|engineering|frontend|graphql|information technology|integration|java|javascript|next.js|react|redux|rest|scala|system integration|tailwind|troubleshooting|typescript|ui/ux|web,https://id.linkedin.com/jobs/view/front-end-developer-at-pt-adicipta-inovasi-teknologi-4188450252?trk=public_jobs_topcard-title,34 applicants
4199554439,Internship Web Developer,PT. Sasa Inti,Jakarta,Jakarta,Indonesia,internship,internship,engineering and information technology,manufacturing,2025-04-03,"DESKRIPSI PEKERJAANMendukung pengembangan situs web berdasarkan kebutuhan bisnis.Mendukung pengembangan dan penyelesaian pengembangan web sesuai dengan jadwal yang telah ditetapkan.Membantu dalam penyusunan dokumen terkait pengembangan web (spesifikasi teknis, skenario dan hasil pengujian, serta panduan pengguna).",web,https://id.linkedin.com/jobs/view/internship-web-developer-at-pt-sasa-inti-4199554439?trk=public_jobs_topcard-title,Over 200 applicants
