Title,Company,Location,Posted Date,Link
,,,2025-03-04,https://id.linkedin.com/jobs/view/gojek-data-scientist-at-goto-group-4147158886?position=25&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=TSirovEj47aaXNDsOkpyfw%3D%3D
,,,2025-02-28,https://id.linkedin.com/jobs/view/data-science-intern-at-tiket-com-4171052144?position=26&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=F42dQyQzbDG%2BOAB%2B%2FCpvmw%3D%3D
,,,2025-03-10,https://id.linkedin.com/jobs/view/ai-cx-graduate-management-associate-at-wiz-ai-4181018544?position=27&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=5zLhmOU6UnC2vVu2CkauKg%3D%3D
,,,2025-03-14,https://id.linkedin.com/jobs/view/senior-data-scientist-indonesia-jakarta-at-artefact-4121866431?position=28&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=AjlSgH4us7nyNbcS0yuksQ%3D%3D
,,,2024-12-08,https://id.linkedin.com/jobs/view/machine-learning-engineer-at-gigradar-io-4094276426?position=29&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=VyNfv4bRlFlhw%2F8OZf0LYA%3D%3D
,,,2025-03-18,https://id.linkedin.com/jobs/view/data-scientist-at-amadeus-4183446461?position=30&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=KyqaFxE3ekUzyhBBiHwkWA%3D%3D
,,,2025-02-11,https://id.linkedin.com/jobs/view/data-scientist-risk-platform-at-cermati-com-4149904088?position=31&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=cOb4nyW3ASAMmX525fyl7w%3D%3D
,,,2024-02-19,https://id.linkedin.com/jobs/view/sr-data-scientist-at-amar-bank-3834482838?position=32&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=aZvImtWtsxlSTUP3MwgniQ%3D%3D
,,,2025-02-09,https://id.linkedin.com/jobs/view/sr-data-scientist-llm-at-yo-it-group-4177106102?position=33&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=wd8LmIB3ckQvM6cnRc%2Bs5g%3D%3D
,,,2025-01-23,https://id.linkedin.com/jobs/view/medical-artificial-intelligence-ai-engineer-at-pt-daya-cipta-mandiri-solusi-4133592890?position=34&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=VoB6yn1bt%2FxITYpQGj0ZQA%3D%3D
,,,2025-02-25,https://id.linkedin.com/jobs/view/data-scientist-at-amartha-4164150995?position=35&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=oiVM1Ob3Oh2VRJGrgZFI%2BA%3D%3D
,,,2025-01-15,https://id.linkedin.com/jobs/view/data-scientist-executive-at-detikcom-4144145763?position=36&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=JztbBPdRxmLIzghF%2BwEdnw%3D%3D
,,,2025-03-11,https://id.linkedin.com/jobs/view/apprenticeship-cashless-project-testing-at-prudential-indonesia-pt-prudential-life-assurance-4181761030?position=37&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=hmg69gZ8%2BONp17ohOidgBA%3D%3D
,,,2025-03-03,https://id.linkedin.com/jobs/view/deep-learning-ai-scientist-liveness-detection-and-biometrics-at-vida-digital-identity-4172287801?position=38&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=xs1V%2BSf3fCrPRbb%2BPWwCkQ%3D%3D
,,,2025-02-22,https://id.linkedin.com/jobs/view/ai-specialist-at-yoona-digital-indonesia-4163019582?position=39&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=0fJ5J6%2FZH529hXHfZ%2BayCQ%3D%3D
